,english.name,chinese.name,country.etc,pop,lat,long,capital
1,anqing,安庆,China,364404,30.5,117.05,0
2,baotou,包头,China,1301768,40.6,110.05,0
3,beihai,北海,China,305015,21.48,109.1,0
4,beijing,北京,China,7602069,39.93,116.4,1
5,bengbu,蚌埠,China,585037,32.95,117.33,0
6,changchun,长春,China,2602574,43.87,125.35,3
7,changde,常德,China,535634,29.03,111.68,0
8,changsha,长沙,China,2131620,28.2,112.97,3
9,chengdu,成都,China,3961709,30.67,104.07,3
10,chongqing,重庆,China,4133663,29.57,106.58,2
11,dali,大理,China,135458,25.7,100.15,0
12,dalian,大连,China,2076179,38.92,121.65,0
13,dandong,丹东,China,643176,40.13,124.4,0
14,fuzhou,福州,China,1202136,26.08,119.3,3
15,ganzhou,赣州,China,253830,25.95,114.93,0
16,guangzhou,广州,China,3158125,23.12,113.25,3
17,guilin,桂林,China,670048,25.28,110.28,0
18,guiyang,贵阳,China,1183692,26.58,106.72,3
19,haikou,海口,China,631179,20.05,110.32,3
20,hangzhou,杭州,China,1894655,30.25,120.17,3
21,harbin,哈尔滨,China,3279454,45.75,126.65,3
22,hefei,合肥,China,1406741,31.85,117.28,3
23,hohhot,呼和浩特,China,783645,40.82,111.64,3
24,huizhou,惠州,China,296584,23.08,114.4,0
25,jilin,吉林,China,1955804,43.85,126.55,0
26,jinan,济南,China,2109987,36.67,117,3
27,jinhua,金华,China,142732,29.12,119.65,0
28,jining,济宁,China,465418,35.4,116.55,0
29,jinzhou,锦州,China,216067,41,121.71,0
30,jiujiang,九江,China,259027,29.73,115.98,0
31,kunming,昆明,China,1044356,25.05,102.7,3
32,lanzhou,兰州,China,1431171,36.05,103.68,3
33,luoyang,洛阳,China,1397051,34.68,112.47,0
34,luzhou,泸州,China,295898,28.88,105.38,0
35,mudanjiang,牡丹江,China,675831,44.58,129.6,0
36,nanchang,南昌,China,1934445,28.68,115.88,3
37,nanchong,南充,China,204951,30.78,106.13,0
38,nanjing,南京,China,3160179,32.05,118.78,3
39,nanning,南宁,China,805718,22.82,108.32,3
40,ningbo,宁波,China,726201,29.88,121.55,0
41,pingdingshan,平顶山,China,893814,33.73,113.3,0
42,qingdao,青岛,China,1668503,36.07,120.32,0
43,qinhuangdao,秦皇岛,China,777519,39.93,119.62,0
44,quanzhou,泉州,China,184812,24.9,118.58,0
45,sanya,三亚,China,150208,18.23,109.48,0
46,shanghai,上海,China,15017783,31.23,121.47,2
47,shaoguan,韶关,China,656561,24.8,113.58,0
48,shenyang,沈阳,China,3538726,41.8,123.45,3
49,shenzhen,深圳,China,1072093,22.53,114.13,0
50,shijiazhuang,石家庄,China,2080120,38.05,114.48,3
51,taiyuan,太原,China,2752516,37.87,112.55,3
52,tangshan,唐山,China,1610214,39.62,118.19,0
53,tianjin,天津,China,3761272,39.13,117.2,2
54,urumqi,乌鲁木齐,China,1538778,43.8,87.58,3
55,wenzhou,温州,China,873290,28.02,120.65,0
56,wuhan,武汉,China,4236023,30.58,114.27,3
57,wuxi,无锡,China,1139609,31.58,120.3,0
58,xiamen,厦门,China,592372,24.45,118.08,0
59,xian,西安,China,4091916,34.27,108.9,0
60,xiangyang,襄阳,China,0,32,112,0
61,xining,西宁,China,770872,36.62,101.77,3
62,xuzhou,徐州,China,1231240,34.27,117.18,0
63,yangzhou,扬州,China,542604,32.4,119.43,0
64,yantai,烟台,China,740249,37.53,121.4,0
65,yichang,宜昌,China,480397,30.7,111.28,0
66,yinchuan,银川,China,480916,38.47,106.32,3
67,yueyang,岳阳,China,529730,29.38,113.1,0
68,zhanjiang,湛江,China,658290,21.2,110.38,0
69,zhengzhou,郑州,China,2023495,34.75,113.67,3
70,zunyi,遵义,China,484980,27.7,106.92,0
