城市,Jan-16
北　　京,112.7
天　　津,102.8
石 家 庄,100.6
太　　原,101
呼和浩特,100.1
沈　　阳,100.9
大　　连,99.2
长　　春,100.5
哈 尔 滨,100.9
上　　海,109
南　　京,104.3
杭　　州,103.1
宁　　波,102.8
合　　肥,103.6
福　　州,102.7
厦　　门,104.8
南　　昌,100.7
济　　南,101.4
青　　岛,100.7
郑　　州,102.9
武　　汉,103.3
长　　沙,101
广　　州,108
深　　圳,126.6
南　　宁,101.2
海　　口,98.9
重　　庆,102.4
成　　都,101.3
贵　　阳,100.5
昆　　明,101.1
西　　安,98.4
兰　　州,100.1
西　　宁,100.4
银　　川,99.1
乌鲁木齐,100.8
唐　　山,99.7
秦 皇 岛,98.7
包　　头,98.7
丹　　东,98.8
锦　　州,96.2
吉　　林,99.9
牡 丹 江,100.7
无　　锡,99.7
扬　　州,100.4
徐　　州,100.2
温　　州,102.5
金　　华,101.4
蚌　　埠,98.9
安　　庆,99.3
泉　　州,100.2
九　　江,101.9
赣　　州,100.1
烟　　台,99.8
济　　宁,99.7
洛　　阳,100.3
平 顶 山,98.5
宜　　昌,101.3
襄　　阳,100.5
岳　　阳,99.4
常　　德,100.5
惠　　州,101
湛　　江,98.1
韶　　关,99.3
桂　　林,99
北　　海,102.1
三　　亚,100.7
泸　　州,102.2
南　　充,100.3
遵　　义,98.1
大　　理,98.9
