城市,16-Sep,同比上年同月
北　　京,150.4,139
天　　津,130.1,127.4
石 家 庄,120.6,120
太　　原,106.1,105.3
呼和浩特,98.8,98.6
沈　　阳,101.9,101.4
大　　连,101.1,101.4
长　　春,101.7,100.8
哈 尔 滨,101.8,100.7
上　　海,142.9,135.8
南　　京,133,130
杭　　州,125.7,123.4
宁　　波,109.9,108.2
合　　肥,154.7,152.4
福　　州,117.3,115.4
厦　　门,140,136.3
南　　昌,113.8,112.5
济　　南,116.7,115.4
青　　岛,109.6,109.1
郑　　州,128.4,126.6
武　　汉,125.1,123
长　　沙,110.8,110.3
广　　州,131.1,124.8
深　　圳,143.8,124.9
南　　宁,105.4,103.8
海　　口,101.8,103
重　　庆,105.1,104.4
成　　都,106.2,105.5
贵　　阳,102.2,101.7
昆　　明,102.7,101.9
西　　安,96.6,97.3
兰　　州,101.7,102.1
西　　宁,99.4,99
银　　川,99.6,100.4
乌鲁木齐,97.2,95.9
唐　　山,101,101.1
秦 皇 岛,102.6,103.3
包　　头,96.7,97.6
丹　　东,97.3,97.7
锦　　州,94,97.1
吉　　林,101.5,101.1
牡 丹 江,101.3,100.5
无　　锡,119.7,119.6
扬　　州,105.2,104.7
徐　　州,105.1,105
温　　州,106,104.1
金　　华,106,104.9
蚌　　埠,103.5,104.4
安　　庆,104.9,105.3
泉　　州,104.2,104.1
九　　江,109.7,108.1
赣　　州,109.9,109.8
烟　　台,102.4,102.5
济　　宁,100.5,100.5
洛　　阳,103.1,102.8
平 顶 山,97.5,97.7
宜　　昌,104.6,103.6
襄　　阳,101.5,101.6
岳　　阳,101.8,102
常　　德,102.9,102.5
惠　　州,114.7,114.3
湛　　江,99.4,101
韶　　关,100.8,100.7
桂　　林,97.3,97.8
北　　海,102.8,101.1
三　　亚,102.4,101.5
泸　　州,104.1,102.5
南　　充,103.2,103.1
遵　　义,100.9,102.5
大　　理,98.5,99.6
