城市,Feb-16
北　　京,116.2
天　　津,104.5
石 家 庄,100.9
太　　原,100.5
呼和浩特,100.1
沈　　阳,100.7
大　　连,99.4
长　　春,99.9
哈 尔 滨,101
上　　海,114.7
南　　京,105.8
杭　　州,104.2
宁　　波,103
合　　肥,110.1
福　　州,103.4
厦　　门,106.9
南　　昌,101
济　　南,101.8
青　　岛,100.8
郑　　州,103.8
武　　汉,103.9
长　　沙,101.1
广　　州,109.3
深　　圳,131.6
南　　宁,101.1
海　　口,98.9
重　　庆,102.3
成　　都,101.9
贵　　阳,100.7
昆　　明,101.3
西　　安,97.9
兰　　州,100.3
西　　宁,100
银　　川,99
乌鲁木齐,99.7
唐　　山,99.4
秦 皇 岛,98.6
包　　头,98.3
丹　　东,98.3
锦　　州,95.9
吉　　林,99.8
牡 丹 江,100.7
无　　锡,99.5
扬　　州,100.2
徐　　州,100.2
温　　州,103.1
金　　华,101.5
蚌　　埠,99.1
安　　庆,99.5
泉　　州,100.2
九　　江,101.9
赣　　州,100.3
烟　　台,99.7
济　　宁,99.3
洛　　阳,100.3
平 顶 山,98.1
宜　　昌,101.6
襄　　阳,100.2
岳　　阳,99.5
常　　德,100.3
惠　　州,101.5
湛　　江,98.2
韶　　关,100.5
桂　　林,98.7
北　　海,101.8
三　　亚,100.4
泸　　州,101.8
南　　充,100.4
遵　　义,98
大　　理,99.2
