城市,Mar-16
北　　京,123.1
天　　津,107
石 家 庄,102.8
太　　原,101.1
呼和浩特,100.2
沈　　阳,100.7
大　　连,99.7
长　　春,100.1
哈 尔 滨,101.6
上　　海,122.2
南　　京,108.9
杭　　州,106.4
宁　　波,103.4
合　　肥,120.8
福　　州,104.3
厦　　门,112.2
南　　昌,102.8
济　　南,102.7
青　　岛,100.9
郑　　州,105.1
武　　汉,105.1
长　　沙,101.6
广　　州,113
深　　圳,137.3
南　　宁,101
海　　口,99.8
重　　庆,102.5
成　　都,102.1
贵　　阳,100.8
昆　　明,101.7
西　　安,97.7
兰　　州,99.9
西　　宁,99.6
银　　川,99.3
乌鲁木齐,98.9
唐　　山,99.4
秦 皇 岛,98.9
包　　头,98
丹　　东,97.9
锦　　州,95.5
吉　　林,100
牡 丹 江,101.1
无　　锡,100.3
扬　　州,100.2
徐　　州,100.5
温　　州,103.7
金　　华,101.7
蚌　　埠,99.2
安　　庆,99.4
泉　　州,100.2
九　　江,102.9
赣　　州,100.1
烟　　台,99.9
济　　宁,99.5
洛　　阳,100.4
平 顶 山,98.4
宜　　昌,102.3
襄　　阳,100.1
岳　　阳,99.7
常　　德,100.4
惠　　州,102.6
湛　　江,98.1
韶　　关,100.8
桂　　林,98.6
北　　海,102.2
三　　亚,101
泸　　州,101.9
南　　充,100.5
遵　　义,98.3
大　　理,99.4
