城市,Apr-16
北　　京,127.8
天　　津,110.8
石 家 庄,105.3
太　　原,101.7
呼和浩特,100
沈　　阳,101.4
大　　连,100.3
长　　春,100.3
哈 尔 滨,101.7
上　　海,125
南　　京,112.1
杭　　州,109
宁　　波,104.3
合　　肥,129.5
福　　州,106.1
厦　　门,116.7
南　　昌,103.7
济　　南,103.2
青　　岛,101
郑　　州,106
武　　汉,106.2
长　　沙,102.5
广　　州,116
深　　圳,136
南　　宁,101.6
海　　口,100
重　　庆,102.9
成　　都,102.3
贵　　阳,100.9
昆　　明,102.2
西　　安,97.5
兰　　州,100.2
西　　宁,99.7
银　　川,99.3
乌鲁木齐,98.4
唐　　山,99.4
秦 皇 岛,98.9
包　　头,97.8
丹　　东,97.7
锦　　州,95.2
吉　　林,100.2
牡 丹 江,101.2
无　　锡,101.6
扬　　州,100.1
徐　　州,101
温　　州,104.2
金　　华,102.1
蚌　　埠,99.5
安　　庆,99.9
泉　　州,100.4
九　　江,103.8
赣　　州,101
烟　　台,100.1
济　　宁,99.5
洛　　阳,100.7
平 顶 山,98.1
宜　　昌,102.4
襄　　阳,100.2
岳　　阳,99.8
常　　德,100.5
惠　　州,103.8
湛　　江,98.1
韶　　关,100.9
桂　　林,98.4
北　　海,102
三　　亚,100.8
泸　　州,102.5
南　　充,101.1
遵　　义,98.5
大　　理,99.3
