城市,May-16
北　　京,130.8
天　　津,112.8
石 家 庄,107.4
太　　原,101.7
呼和浩特,100.1
沈　　阳,101.6
大　　连,100.3
长　　春,100.4
哈 尔 滨,101.7
上　　海,127.3
南　　京,115.3
杭　　州,110.7
宁　　波,105.3
合　　肥,135.4
福　　州,106.8
厦　　门,124.4
南　　昌,105.5
济　　南,103.7
青　　岛,101.2
郑　　州,107.3
武　　汉,108
长　　沙,102.6
广　　州,118.1
深　　圳,137.1
南　　宁,102.2
海　　口,100
重　　庆,103.5
成　　都,102.8
贵　　阳,101
昆　　明,102.9
西　　安,97.3
兰　　州,100.6
西　　宁,99.3
银　　川,99.5
乌鲁木齐,98.3
唐　　山,99.5
秦 皇 岛,99.3
包　　头,97.1
丹　　东,97.8
锦　　州,95.1
吉　　林,100.3
牡 丹 江,101.2
无　　锡,102
扬　　州,100.3
徐　　州,101.2
温　　州,103.9
金　　华,102.4
蚌　　埠,99.7
安　　庆,100.2
泉　　州,100.3
九　　江,104.2
赣　　州,101.6
烟　　台,100.5
济　　宁,99.5
洛　　阳,101
平 顶 山,98.2
宜　　昌,102.6
襄　　阳,100.2
岳　　阳,100
常　　德,100.6
惠　　州,105.5
湛　　江,98.3
韶　　关,100.7
桂　　林,98
北　　海,102.2
三　　亚,100.9
泸　　州,102.7
南　　充,101.2
遵　　义,99.3
大　　理,99.6
