城市,16-Jun,同比上年同月
北　　京,132.6,133.5
天　　津,115.1,115.4
石 家 庄,110.2,110.1
太　　原,102.1,102.4
呼和浩特,99.8,99.9
沈　　阳,101.8,101.5
大　　连,100.6,99.7
长　　春,100.4,100.6
哈 尔 滨,101.7,101.9
上　　海,130.2,131.1
南　　京,118,118.8
杭　　州,112,112.5
宁　　波,105.6,106.3
合　　肥,140.5,140.3
福　　州,107.4,107.6
厦　　门,130.3,131.9
南　　昌,107.1,107.3
济　　南,104.4,105.1
青　　岛,101.3,101.6
郑　　州,108.9,109.3
武　　汉,109.9,110.3
长　　沙,102.9,103.1
广　　州,119.8,120.1
深　　圳,137.2,139.2
南　　宁,102.1,101.5
海　　口,100.1,101
重　　庆,103.6,103.9
成　　都,103,103.3
贵　　阳,101,101.2
昆　　明,102.5,102.4
西　　安,96.3,96.2
兰　　州,100.7,100.7
西　　宁,99.2,99.4
银　　川,99.7,99.6
乌鲁木齐,98.1,98.2
唐　　山,99.5,99.7
秦 皇 岛,99.8,99.8
包　　头,97.1,96.8
丹　　东,97.4,97.4
锦　　州,94.9,94.5
吉　　林,100.7,100.8
牡 丹 江,101.2,101.5
无　　锡,102.7,102.9
扬　　州,100.3,100.5
徐　　州,101.4,101.6
温　　州,104.1,104.1
金　　华,102.6,102.9
蚌　　埠,99.8,100
安　　庆,100.3,101
泉　　州,99.9,100.2
九　　江,105.7,105.8
赣　　州,101.9,102.2
烟　　台,100.7,100.9
济　　宁,99.8,100.3
洛　　阳,101.1,101.6
平 顶 山,96.9,97
宜　　昌,102.6,103.1
襄　　阳,100.2,99.5
岳　　阳,100.1,100.1
常　　德,101,101.1
惠　　州,106.3,107
湛　　江,98.3,98.1
韶　　关,100.4,100.2
桂　　林,97.9,98
北　　海,102.1,102.5
三　　亚,100.9,101.4
泸　　州,102.8,103.1
南　　充,101.4,101.5
遵　　义,99.6,99
大　　理,99.3,99.4
