城市,16-Jul,同比上年同月
北　　京,134.8,132.4
天　　津,117.9,117.5
石 家 庄,112.8,112.3
太　　原,103,102.9
呼和浩特,99.8,99.9
沈　　阳,102,101.4
大　　连,100.5,99.8
长　　春,100.3,99.8
哈 尔 滨,101.6,101
上　　海,132.9,131.7
南　　京,121.2,121.4
杭　　州,114.3,114.1
宁　　波,106,106
合　　肥,145.1,145.1
福　　州,108.3,108.1
厦　　门,134,134.9
南　　昌,108.7,108.6
济　　南,104.9,105
青　　岛,101.7,101.7
郑　　州,110.2,110.3
武　　汉,112.2,112.2
长　　沙,103,103.1
广　　州,121.8,120.8
深　　圳,139.7,134.5
南　　宁,102.5,101.3
海　　口,100.3,101.3
重　　庆,104,103.9
成　　都,103.3,103.4
贵　　阳,101.1,101.1
昆　　明,102.4,102.9
西　　安,96.5,96.3
兰　　州,100.9,101.1
西　　宁,99.2,99.1
银　　川,99.6,99.8
乌鲁木齐,97.8,97.3
唐　　山,99.4,99.7
秦 皇 岛,99.7,99.9
包　　头,96.9,96.7
丹　　东,97.4,97.5
锦　　州,94.6,95.1
吉　　林,100.8,101
牡 丹 江,100.9,101.5
无　　锡,103.8,103.9
扬　　州,100.7,100.7
徐　　州,101.5,101.6
温　　州,104.4,104
金　　华,102.9,102.6
蚌　　埠,100.5,100.8
安　　庆,100.9,101.4
泉　　州,99.9,100.2
九　　江,106.4,106.5
赣　　州,102.2,102.1
烟　　台,100.9,101.1
济　　宁,100.3,100.7
洛　　阳,101.4,101.7
平 顶 山,96.9,96.9
宜　　昌,102.8,103
襄　　阳,100.2,100.1
岳　　阳,100.1,100.1
常　　德,101.4,101.4
惠　　州,107.7,108.2
湛　　江,98.6,98.9
韶　　关,100.2,99.8
桂　　林,97.9,98
北　　海,102.2,102.2
三　　亚,100.7,101.3
泸　　州,103,102.7
南　　充,101.6,101.7
遵　　义,99.9,99.1
大　　理,99.3,99.7
