城市,16-Aug,同比上年同月
北　　京,140.4,135
天　　津,122.8,121.6
石 家 庄,117,116.6
太　　原,104.1,103.6
呼和浩特,99.6,99.6
沈　　阳,102,101.6
大　　连,100.6,100
长　　春,100.8,100.1
哈 尔 滨,101.5,100.7
上　　海,137.6,134.9
南　　京,124.9,124.4
杭　　州,117.3,116.7
宁　　波,107,106.5
合　　肥,148.5,148
福　　州,111.2,110.7
厦　　门,137.5,137.3
南　　昌,110.2,109.6
济　　南,107.2,106.9
青　　岛,102.8,102.5
郑　　州,114.9,114.8
武　　汉,115.3,114.7
长　　沙,104,103.8
广　　州,124.8,122.4
深　　圳,142.5,131.9
南　　宁,103,101.8
海　　口,100.7,101.8
重　　庆,104,103.6
成　　都,103.6,103.6
贵　　阳,101.4,101.3
昆　　明,102.2,103
西　　安,96.9,96.7
兰　　州,101.7,102.2
西　　宁,99.2,99
银　　川,99.7,99.9
乌鲁木齐,97.9,97.2
唐　　山,99.9,100
秦 皇 岛,100,100.2
包　　头,96.9,96.7
丹　　东,97.3,97.5
锦　　州,94.3,95.8
吉　　林,101,100.9
牡 丹 江,101.1,101.4
无　　锡,107.6,107.6
扬　　州,101.1,100.9
徐　　州,102.1,102.5
温　　州,104.4,103.4
金　　华,103.5,103.1
蚌　　埠,101.1,101.5
安　　庆,101.8,102.3
泉　　州,100.6,100.8
九　　江,108,107.7
赣　　州,103.5,102.5
烟　　台,101.4,101.7
济　　宁,100.5,100.6
洛　　阳,101.6,101.6
平 顶 山,97.2,97.1
宜　　昌,103.1,103
襄　　阳,100.8,101.4
岳　　阳,100.2,100.3
常　　德,101.4,101.4
惠　　州,108.5,109.1
湛　　江,98.6,99.3
韶　　关,99.7,99.1
桂　　林,97.8,98.1
北　　海,102.3,102
三　　亚,100.9,101.3
泸　　州,103,102.5
南　　充,101.9,102
遵　　义,100.1,99.6
大　　理,98.6,99.1
