城市,16-Jan,同比上年同月
北　　京,153.1,113.6
天　　津,131.6,111.6
石 家 庄,121.4,107.7
太　　原,111.4,108.2
呼和浩特,99.9,100
沈　　阳,106.9,104.9
大　　连,104,103.5
长　　春,104.6,104.3
哈 尔 滨,105.9,104.3
上　　海,144.1,108.4
南　　京,133.6,110.2
杭　　州,132.7,116.1
宁　　波,116,109.4
合　　肥,152.3,105
福　　州,125.2,115.6
厦　　门,149.1,111.3
南　　昌,120.3,110.7
济　　南,123,117.3
青　　岛,118.5,116.5
郑　　州,134,121.6
武　　汉,135.4,120.7
长　　沙,123.9,120.3
广　　州,148.1,121.6
深　　圳,146.6,105
南　　宁,113,110.3
海　　口,105,104.6
重　　庆,113,108.6
成　　都,110.3,106.8
贵　　阳,105.2,104.1
昆　　明,105,102.6
西　　安,103.8,107.6
兰　　州,104.5,103.6
西　　宁,100.1,101
银　　川,99.9,100.3
乌鲁木齐,100.4,102.6
唐　　山,105.2,105.8
秦 皇 岛,107.9,108.2
包　　头,99.6,102.7
丹　　东,98.1,100.8
锦　　州,93.9,99.4
吉　　林,104.1,103.2
牡 丹 江,103.8,102.9
无　　锡,130.5,125.7
扬　　州,112.7,111.9
徐　　州,110,108.3
温　　州,112.6,107.8
金　　华,111.9,108.8
蚌　　埠,112.5,112
安　　庆,112.4,111.4
泉　　州,110.7,110.8
九　　江,116.4,109.4
赣　　州,111.9,109.4
烟　　台,108.6,107.7
济　　宁,104.9,104.6
洛　　阳,106.5,105.1
平 顶 山,100,103.2
宜　　昌,110.9,107.9
襄　　阳,104.8,104.5
岳　　阳,106.1,105.9
常　　德,106.2,104.8
惠　　州,122.2,113.5
湛　　江,106.2,107.8
韶　　关,107.3,107.1
桂　　林,99.3,101.4
北　　海,111.5,109
三　　亚,105.3,104.6
泸　　州,105.8,102.8
南　　充,107.4,105.7
遵　　义,104.3,104.3
大　　理,98.9,99.6
