城市,Jan-16
北　　京,99.4
天　　津,103.7
石 家 庄,101.2
太　　原,101.8
呼和浩特,98.3
沈　　阳,100
大　　连,99.8
长　　春,99.5
哈 尔 滨,99.5
上　　海,113
南　　京,108.4
杭　　州,105.6
宁　　波,103.4
合　　肥,103.1
福　　州,105
厦　　门,105.9
南　　昌,103.1
济　　南,101.5
青　　岛,99.8
郑　　州,102.5
武　　汉,103.1
长　　沙,99.7
广　　州,106
深　　圳,125.4
南　　宁,102.2
海　　口,100
重　　庆,100.5
成　　都,100.6
贵　　阳,100.2
昆　　明,100
西　　安,101.2
兰　　州,100.8
西　　宁,99.5
银　　川,98
乌鲁木齐,98.1
唐　　山,99.8
秦 皇 岛,99.1
包　　头,98.9
丹　　东,97.5
锦　　州,95.7
吉　　林,98.6
牡 丹 江,99
无　　锡,100.6
扬　　州,101.4
徐　　州,100.3
温　　州,101.1
金　　华,101.8
蚌　　埠,98.1
安　　庆,100
泉　　州,99.6
九　　江,99.4
赣　　州,100.7
烟　　台,99.7
济　　宁,98.5
洛　　阳,100
平 顶 山,99.7
宜　　昌,99.8
襄　　阳,99
岳　　阳,98.1
常　　德,98.7
惠　　州,101.6
湛　　江,98.8
韶　　关,99.9
桂　　林,99.8
北　　海,99.8
三　　亚,100.2
泸　　州,100
南　　充,98.5
遵　　义,99.9
大　　理,99.8
