城市,16-Oct
北　　京,121.1
天　　津,134
石 家 庄,119.1
太　　原,105.5
呼和浩特,98.5
沈　　阳,104.8
大　　连,101.5
长　　春,105
哈 尔 滨,102.1
上　　海,147.8
南　　京,152.3
杭　　州,138.6
宁　　波,117.4
合　　肥,148.7
福　　州,131
厦　　门,148.9
南　　昌,117.1
济　　南,119.9
青　　岛,113.4
郑　　州,132.6
武　　汉,129.1
长　　沙,116.5
广　　州,132
深　　圳,148.7
南　　宁,113.8
海　　口,108.3
重　　庆,107
成　　都,105
贵　　阳,104.7
昆　　明,104.1
西　　安,109
兰　　州,104
西　　宁,101.5
银　　川,101.9
乌鲁木齐,97.5
唐　　山,101.7
秦 皇 岛,105.3
包　　头,98.9
丹　　东,98.3
锦　　州,92.4
吉　　林,101.3
牡 丹 江,97.4
无　　锡,137.3
扬　　州,110.9
徐　　州,109.4
温　　州,105.8
金　　华,109.4
蚌　　埠,107
安　　庆,108.3
泉　　州,109.3
九　　江,110.9
赣　　州,113.8
烟　　台,103.8
济　　宁,100.8
洛　　阳,107.7
平 顶 山,103.7
宜　　昌,104.5
襄　　阳,102.2
岳　　阳,104.1
常　　德,101.9
惠　　州,123.7
湛　　江,107.8
韶　　关,107.4
桂　　林,101.9
北　　海,104.2
三　　亚,105.1
泸　　州,105.1
南　　充,100
遵　　义,103
大　　理,101.8
