城市,Feb-16
北　　京,100.8
天　　津,104.6
石 家 庄,101.7
太　　原,101.9
呼和浩特,98.9
沈　　阳,99.7
大　　连,99.7
长　　春,100
哈 尔 滨,99.2
上　　海,116.6
南　　京,110.6
杭　　州,107.3
宁　　波,104.1
合　　肥,104.9
福　　州,106.5
厦　　门,107.1
南　　昌,103.7
济　　南,101.7
青　　岛,99.9
郑　　州,102.8
武　　汉,104
长　　沙,100
广　　州,107.4
深　　圳,129.5
南　　宁,102.8
海　　口,100.4
重　　庆,101
成　　都,100.7
贵　　阳,100.4
昆　　明,100.1
西　　安,101.2
兰　　州,101.1
西　　宁,99.3
银　　川,97.7
乌鲁木齐,97.9
唐　　山,100
秦 皇 岛,99
包　　头,99
丹　　东,96.9
锦　　州,95.3
吉　　林,99
牡 丹 江,98.5
无　　锡,101
扬　　州,101.5
徐　　州,100.5
温　　州,101.3
金　　华,101.7
蚌　　埠,98.1
安　　庆,99.7
泉　　州,100.1
九　　江,99.4
赣　　州,101.1
烟　　台,99.7
济　　宁,98.4
洛　　阳,99.8
平 顶 山,99.7
宜　　昌,99.9
襄　　阳,99
岳　　阳,98.2
常　　德,99.4
惠　　州,102.2
湛　　江,98.8
韶　　关,100.8
桂　　林,99.1
北　　海,100.2
三　　亚,99.8
泸　　州,99.4
南　　充,98.3
遵　　义,100.2
大　　理,99.6
