城市,Mar-16
北　　京,102.4
天　　津,107
石 家 庄,102.3
太　　原,102
呼和浩特,98.9
沈　　阳,100
大　　连,99.9
长　　春,100.8
哈 尔 滨,100
上　　海,122.7
南　　京,114.6
杭　　州,110.6
宁　　波,105.9
合　　肥,109.5
福　　州,109.1
厦　　门,112.7
南　　昌,105.6
济　　南,102.7
青　　岛,101.1
郑　　州,104.2
武　　汉,105.5
长　　沙,100.8
广　　州,110.7
深　　圳,134.5
南　　宁,103.7
海　　口,100.5
重　　庆,101.4
成　　都,100.9
贵　　阳,100.9
昆　　明,99.9
西　　安,101.5
兰　　州,101.5
西　　宁,99.6
银　　川,97.9
乌鲁木齐,97.7
唐　　山,99.4
秦 皇 岛,99.5
包　　头,99.3
丹　　东,97.3
锦　　州,95.2
吉　　林,98.8
牡 丹 江,98.1
无　　锡,103.5
扬　　州,102
徐　　州,101.3
温　　州,101.6
金　　华,101.9
蚌　　埠,99.1
安　　庆,100.8
泉　　州,100.5
九　　江,100.3
赣　　州,101.5
烟　　台,100
济　　宁,98.6
洛　　阳,100.1
平 顶 山,100.1
宜　　昌,99.7
襄　　阳,99.6
岳　　阳,98.8
常　　德,99.6
惠　　州,103.1
湛　　江,99.1
韶　　关,102.2
桂　　林,99.3
北　　海,100.7
三　　亚,99.7
泸　　州,99.7
南　　充,98.9
遵　　义,100.3
大　　理,99.1
