城市,Apr-16
北　　京,106.2
天　　津,111.3
石 家 庄,102.9
太　　原,101.7
呼和浩特,99.2
沈　　阳,101.1
大　　连,100.8
长　　春,101.2
哈 尔 滨,100.5
上　　海,127.8
南　　京,120.4
杭　　州,114.5
宁　　波,107
合　　肥,115
福　　州,113.1
厦　　门,119.6
南　　昌,107.6
济　　南,104.2
青　　岛,102.5
郑　　州,105.9
武　　汉,108.1
长　　沙,102
广　　州,114.2
深　　圳,137.5
南　　宁,105.2
海　　口,101.3
重　　庆,102
成　　都,101.6
贵　　阳,101.8
昆　　明,100.9
西　　安,102.3
兰　　州,101.5
西　　宁,99.7
银　　川,98.6
乌鲁木齐,98.2
唐　　山,99.8
秦 皇 岛,100
包　　头,99.8
丹　　东,97.6
锦　　州,95.1
吉　　林,99.6
牡 丹 江,98.3
无　　锡,105.9
扬　　州,102.5
徐　　州,102.2
温　　州,101.9
金　　华,102.5
蚌　　埠,99.9
安　　庆,101.7
泉　　州,101.8
九　　江,101.3
赣　　州,102.7
烟　　台,100.4
济　　宁,99
洛　　阳,101
平 顶 山,100
宜　　昌,100.3
襄　　阳,100.2
岳　　阳,99.4
常　　德,99.6
惠　　州,106.4
湛　　江,99.3
韶　　关,102.4
桂　　林,99.3
北　　海,101.1
三　　亚,99.9
泸　　州,100.4
南　　充,99.4
遵　　义,100.5
大　　理,99
