城市,May-16
北　　京,108.6
天　　津,114.7
石 家 庄,104.1
太　　原,101.8
呼和浩特,98.8
沈　　阳,101.8
大　　连,101.2
长　　春,101.7
哈 尔 滨,100.8
上　　海,131.4
南　　京,125
杭　　州,117.4
宁　　波,108.4
合　　肥,120.6
福　　州,114.1
厦　　门,126.5
南　　昌,108.6
济　　南,105.2
青　　岛,103.3
郑　　州,107.7
武　　汉,110.2
长　　沙,102.5
广　　州,117.1
深　　圳,138.5
南　　宁,106
海　　口,102
重　　庆,102.5
成　　都,102
贵　　阳,102.3
昆　　明,101.5
西　　安,103
兰　　州,101.4
西　　宁,99.9
银　　川,99.7
乌鲁木齐,98.4
唐　　山,100.1
秦 皇 岛,99.6
包　　头,99.7
丹　　东,98.2
锦　　州,94.7
吉　　林,99.8
牡 丹 江,98
无　　锡,108
扬　　州,103.2
徐　　州,102.6
温　　州,102.1
金　　华,102.8
蚌　　埠,100.2
安　　庆,102
泉　　州,101.3
九　　江,102.2
赣　　州,103.2
烟　　台,101
济　　宁,99.2
洛　　阳,101.5
平 顶 山,99.9
宜　　昌,100.5
襄　　阳,100.6
岳　　阳,99
常　　德,99.7
惠　　州,110.2
湛　　江,100.1
韶　　关,103.3
桂　　林,99.4
北　　海,101.4
三　　亚,100.3
泸　　州,100.9
南　　充,99.9
遵　　义,101
大　　理,99.5
