城市,16-Jun
北　　京,110.5
天　　津,117.9
石 家 庄,105
太　　原,103
呼和浩特,99.3
沈　　阳,102
大　　连,102
长　　春,101.9
哈 尔 滨,101.1
上　　海,134.8
南　　京,130.1
杭　　州,120
宁　　波,109.4
合　　肥,127
福　　州,115.5
厦　　门,133
南　　昌,109.7
济　　南,106.1
青　　岛,103.8
郑　　州,109.4
武　　汉,112.8
长　　沙,103
广　　州,119
深　　圳,141.8
南　　宁,106.6
海　　口,102.7
重　　庆,102.5
成　　都,102.4
贵　　阳,102.2
昆　　明,101.3
西　　安,103.9
兰　　州,101.8
西　　宁,100.2
银　　川,100
乌鲁木齐,98.4
唐　　山,100
秦 皇 岛,99.8
包　　头,99.7
丹　　东,98.5
锦　　州,94.3
吉　　林,99.9
牡 丹 江,97.6
无　　锡,111.1
扬　　州,103.1
徐　　州,102.9
温　　州,102.4
金　　华,102.9
蚌　　埠,100.2
安　　庆,102.4
泉　　州,101.2
九　　江,103
赣　　州,103.3
烟　　台,101.3
济　　宁,99.7
洛　　阳,101.6
平 顶 山,99.6
宜　　昌,100.8
襄　　阳,100.6
岳　　阳,99.8
常　　德,99.5
惠　　州,112.8
湛　　江,101.4
韶　　关,102.8
桂　　林,99.5
北　　海,101.1
三　　亚,100.2
泸　　州,101.1
南　　充,100.1
遵　　义,101
大　　理,100.3
