城市,16-Jul
北　　京,111.7
天　　津,120.8
石 家 庄,106.5
太　　原,103.4
呼和浩特,98.8
沈　　阳,102.1
大　　连,101
长　　春,102.2
哈 尔 滨,101.2
上　　海,136.6
南　　京,134.7
杭　　州,123.2
宁　　波,110.4
合　　肥,132.2
福　　州,117.7
厦　　门,138.7
南　　昌,111.5
济　　南,107.4
青　　岛,104.6
郑　　州,111.9
武　　汉,115.1
长　　沙,104
广　　州,121.1
深　　圳,144.7
南　　宁,107.4
海　　口,103.8
重　　庆,102.6
成　　都,102.9
贵　　阳,103
昆　　明,101.8
西　　安,104.1
兰　　州,102.4
西　　宁,100
银　　川,100.8
乌鲁木齐,98
唐　　山,100
秦 皇 岛,99.8
包　　头,99.1
丹　　东,98.6
锦　　州,93.6
吉　　林,100
牡 丹 江,96.8
无　　锡,114.4
扬　　州,104.4
徐　　州,103.2
温　　州,102.6
金　　华,103.1
蚌　　埠,101.3
安　　庆,103.6
泉　　州,101.9
九　　江,104.3
赣　　州,104.3
烟　　台,101.7
济　　宁,99.6
洛　　阳,102.5
平 顶 山,99.6
宜　　昌,101.1
襄　　阳,100.8
岳　　阳,100.4
常　　德,99.3
惠　　州,114.6
湛　　江,102.9
韶　　关,102.6
桂　　林,99.8
北　　海,101.1
三　　亚,99.7
泸　　州,101.7
南　　充,100
遵　　义,101
大　　理,100.2
