城市,16-Aug
北　　京,115
天　　津,125.6
石 家 庄,110.4
太　　原,104
呼和浩特,99.2
沈　　阳,102.5
大　　连,100.5
长　　春,102.6
哈 尔 滨,101.3
上　　海,143
南　　京,141.5
杭　　州,127.5
宁　　波,111.6
合　　肥,138.3
福　　州,122.5
厦　　门,144.5
南　　昌,113.2
济　　南,110.4
青　　岛,106.5
郑　　州,117.9
武　　汉,118.8
长　　沙,105.6
广　　州,124
深　　圳,147.4
南　　宁,108.6
海　　口,104.7
重　　庆,102.9
成　　都,103.8
贵　　阳,103.1
昆　　明,101.8
西　　安,104.4
兰　　州,103.5
西　　宁,100.6
银　　川,100.8
乌鲁木齐,97.7
唐　　山,100.1
秦 皇 岛,100.6
包　　头,99
丹　　东,98.3
锦　　州,93.4
吉　　林,100
牡 丹 江,97.7
无　　锡,120.6
扬　　州,104.7
徐　　州,103.4
温　　州,102.8
金　　华,104
蚌　　埠,102.6
安　　庆,104.4
泉　　州,103.4
九　　江,106
赣　　州,105.9
烟　　台,102
济　　宁,99.8
洛　　阳,103.3
平 顶 山,99.8
宜　　昌,101.8
襄　　阳,101.1
岳　　阳,100.9
常　　德,99.2
惠　　州,115.2
湛　　江,102.4
韶　　关,102.3
桂　　林,99.9
北　　海,101.7
三　　亚,100.4
泸　　州,102
南　　充,100.6
遵　　义,101.7
大　　理,100.4
