城市,16-Sep
北　　京,120.9
天　　津,130.3
石 家 庄,114.7
太　　原,104
呼和浩特,98.3
沈　　阳,102.8
大　　连,100.6
长　　春,103.3
哈 尔 滨,101.4
上　　海,148.4
南　　京,148.1
杭　　州,135.3
宁　　波,114.7
合　　肥,145.5
福　　州,128.3
厦　　门,148.6
南　　昌,116
济　　南,116.5
青　　岛,111.7
郑　　州,127.8
武　　汉,124.2
长　　沙,109.9
广　　州,128.2
深　　圳,150.3
南　　宁,111
海　　口,106
重　　庆,103.9
成　　都,106.3
贵　　阳,103.8
昆　　明,102.2
西　　安,104.6
兰　　州,104
西　　宁,101.1
银　　川,101.1
乌鲁木齐,97.6
唐　　山,100.3
秦 皇 岛,100.8
包　　头,98.8
丹　　东,97.8
锦　　州,92.9
吉　　林,100.4
牡 丹 江,98.2
无　　锡,131
扬　　州,105.8
徐　　州,105.1
温　　州,104.9
金　　华,106.3
蚌　　埠,103.9
安　　庆,104.9
泉　　州,104.6
九　　江,107.7
赣　　州,108.3
烟　　台,102.4
济　　宁,100.4
洛　　阳,104.9
平 顶 山,101
宜　　昌,102.4
襄　　阳,101.7
岳　　阳,102.1
常　　德,101
惠　　州,119.6
湛　　江,104.2
韶　　关,104
桂　　林,101
北　　海,102.6
三　　亚,101.6
泸　　州,103.5
南　　充,100.5
遵　　义,101.8
大　　理,100.7
