城市,16-Jan
北　　京,122.6
天　　津,135.2
石 家 庄,119.1
太　　原,109
呼和浩特,99.6
沈　　阳,110.8
大　　连,104.7
长　　春,109.7
哈 尔 滨,105.8
上　　海,148.2
南　　京,151.1
杭　　州,138
宁　　波,121
合　　肥,147.2
福　　州,130.1
厦　　门,151.5
南　　昌,124
济　　南,121.5
青　　岛,115.1
郑　　州,132.9
武　　汉,129.8
长　　沙,120.8
广　　州,139.6
深　　圳,146.6
南　　宁,119.1
海　　口,110.5
重　　庆,115.6
成　　都,104.5
贵　　阳,110.1
昆　　明,108.1
西　　安,116.2
兰　　州,106.1
西　　宁,103.1
银　　川,101
乌鲁木齐,98.8
唐　　山,106.9
秦 皇 岛,109.3
包　　头,101.6
丹　　东,99
锦　　州,94.2
吉　　林,104.6
牡 丹 江,99.5
无　　锡,139.4
扬　　州,118.4
徐　　州,115.2
温　　州,109.3
金　　华,115.1
蚌　　埠,113.9
安　　庆,112
泉　　州,111.5
九　　江,120.2
赣　　州,115.6
烟　　台,106.7
济　　宁,104.8
洛　　阳,111.6
平 顶 山,104.9
宜　　昌,111.4
襄　　阳,105.5
岳　　阳,108.4
常　　德,106.8
惠　　州,127.5
湛　　江,111.3
韶　　关,113.2
桂　　林,104.3
北　　海,110.8
三　　亚,110.2
泸　　州,105.6
南　　充,103.7
遵　　义,104.4
大　　理,104.4
